"3 piece Original chicken","X0000"
"2 piece Original chicken","X0001"
"Chicken Bucket","X001"
"3 piece crispy chicken","X0100"
"2 piece crispy chicken","X0101"
"Original Snacker","X0110"
"Crispy Snacker","X0111"
"2 piece Tenders","X10000"
"Tenders Box","X10001"
"Nuggets Snackers","X10010"
"Popcorn Snackers","X10011"
"Original Rice Bucket","X1010"
"Curry Rice Bucket","X1011"
"Shrooms Box","X11000"
"Zinger Box","X11001"
"Cheesy BBQ Meltz","X11010"
"Pocket","X110110"
"Pocket Box","X110111"
"Tenders Burger","X11100"
"Zinger","X11101"
"Colonel Burger","X11110"
"Shrooms Burger","X11111"
"Is your order either Crispy Chicken or Snackers?","X0"
"Do you want boneless chicken?","X"
"Do you want a Bucket?","X00"
"Do you want 2 pieces of chicken?","X000"
"Do you want a Snacker?","X01"
"Do you want 2 pieces of chicken","X010"
"Do you want the Original Recipe snacker?","X011"
"Is your order either a Burger or a Wrap?","X1"
"Do you wnat a Box Meal?","X1000"
"Do you want Snackers?","X100"
"Do you want a Bucket?","X10"
"Do you want the Curry Rice Bucket?","X101"
"Do you want Popcorn Chicken?","X1001"
"Do you want a wrap?","X110"
"Do you want a Zinger?","X1100"
"Do you want a Pocket?","X1101"
"Do you want a burger a la carte?","X11"
"Is your order either the Shrooms Burger or the Colonel Burger?","X111"
"Do you want a Zinger?","X1110"
"Do you want a Shrooms Burger?","X1111"
"Do you want a box meal?","X11011"
